DATE,FFR,BOK,TB3Y,TB10Y,CD,USD,A_SP,A_CP,A_AUM,A_VOL,A_NAV,B_SP,B_CP,B_AUM,B_VOL,B_NAV,C_SP,C_CP,C_AUM,C_VOL,C_NAV,D_SP,D_CP,D_AUM,D_VOL,D_NAV,E_SP,E_CP,E_AUM,E_VOL,E_NAV,F_SP,F_CP,F_AUM,F_VOL,F_NAV,G_SP,G_CP,G_AUM,G_VOL,G_NAV
2021-03-23,0.250,0.500,1.147,2.037,0.750,"1,131.30","102,760","102,760","1,974,020","14,570",102755.91,"57,960","57,990","90,464","150,426",57967.04,"99,700","99,645","601,258",17,99677.4,"120,310","120,475","196,374","34,489",120471.32,"47,875","47,760","4,012",42,47773.61,"42,180","41,530","4,823,710","6,645,759",41555.48,"3,930","3,995","1,138,176","33,095,638",3994.19
2021-03-22,0.250,0.500,1.130,2.050,0.750,"1,131.80","102,760","102,760","1,973,917","26,229",102754.86,"57,900","57,960","90,418","101,370",57978.05,"99,740","99,705","601,620",6,99640.3,"119,000","120,245","195,999","131,314",120393.01,"48,120","47,915","4,025",31,47796.22,"42,025","41,925","4,867,493","6,345,196",41950.88,"3,950","3,950","1,160,115","43,448,945",3953.61
2021-03-19,0.250,0.500,1.142,2.115,0.750,"1,123.70","102,750","102,760","1,872,184","42,668",102753.38,"57,955","57,900","90,324","1,893",57934.39,"99,790","99,765","451,636",6,99719.98,"119,055","119,780","195,241","3,986",119770.01,"48,385","48,090","4,040",40,48070.19,"41,715","41,855","4,926,334","9,277,711",41980.92,"3,970","3,960","1,186,812","70,747,163",3969.16
2021-03-18,0.250,0.500,1.137,2.162,0.750,"1,131.80","102,745","102,745","1,871,706","29,334",102750.67,"57,905","57,960","90,418","6,847",57934.62,"99,725","99,680","451,251","2,015",99680.37,"119,450","119,270","194,410","30,486",119294.45,"48,115","48,235","4,052",19,48232.98,"42,320","42,300","5,010,435","8,690,814",42398.54,"3,910","3,915","1,166,670","54,631,234",3911.63
2021-03-17,0.250,0.500,1.177,2.138,0.750,"1,132.50","102,740","102,740","1,871,820","7,556",102744.71,"57,855","57,905","90,332","6,964",57883.35,"99,820","99,795","352,576",8,99774.96,"120,050","119,580","194,915","2,161",119519.82,"48,110","48,160","4,045",6,48118.41,"42,340","41,995","5,194,782","8,129,905",42092.83,"3,915","3,945","1,187,445","33,280,380",3950.93
2021-03-16,0.250,0.500,1.175,2.097,0.750,"1,135.90","102,735","102,740","1,871,512","9,991",102739.8,"57,910","57,930","90,371","22,186",57904.33,"99,830","99,810","252,819","1,004,008",99755.9,"120,830","119,955","195,527","23,688",119896.69,"48,225","48,050","4,036",38,47996.17,"42,180","42,330","5,225,639","5,575,783",42423.62,"3,930","3,915","1,166,279","40,265,997",3911.89
2021-03-15,0.250,0.500,1.220,2.152,0.750,"1,130.70","102,730","102,735","1,909,638","8,655",102732.31,"57,840","57,880","90,293","4,467",57843.97,"99,940","99,890","253,021","1,010,032",99927.06,"119,660","119,360","194,557","14,543",119308.97,"48,125","48,235","4,052",50,48288.97,"42,230","41,980","5,205,520","8,495,978",42109.82,"3,925","3,950","1,152,215","36,114,097",3954.62
2021-03-12,0.250,0.500,1.230,2.105,0.750,"1,137.30","102,730","102,730","1,911,292","19,539",102730.62,"57,925","57,840","90,230","19,401",57837.4,"99,825","99,920","152,978",10,99944.14,"120,250","119,660","195,046","3,808",119641.85,"47,870","48,030","4,035",25,48078.67,"42,255","42,185","5,283,671","6,953,557",42306.89,"3,925","3,925","1,155,913","48,138,966",3929.79
2021-03-11,0.250,0.500,1.175,2.022,0.750,"1,140.70","102,730","102,730","1,911,189","8,817",102727.17,"57,890","57,925","90,363","9,297",57923.34,"99,825","99,835","102,930","1,003,006",99794.89,"120,320","120,420","196,285","2,696",120330.42,"47,760","47,805","4,016",7,47782.91,"41,145","41,815","5,170,425","6,417,962",41794.53,"4,035","3,960","1,180,872","67,110,106",3967.08
2021-03-10,0.250,0.500,1.175,2.035,0.750,"1,141.10","102,730","102,730","1,913,860","21,894",102726.2,"57,840","57,880","90,293","10,495",57905.04,"99,950","99,925","103,023","1,001,007",99885.91,"120,230","120,200","195,926","26,724",120250.21,"47,760","47,900","3,928",11,47850.69,"41,760","40,980","5,097,912","8,187,756",41035.46,"3,970","4,050","1,221,885","47,902,712",4055.44
2021-03-09,0.250,0.500,1.220,2.035,0.750,"1,131.30","102,735","102,725","1,914,075","7,549",102724.43,"57,950","57,840","90,230","8,319",57820.68,"99,870","100,015","103,115","502,008",100028.39,"120,400","120,170","195,877","7,692",120192.82,"47,865","47,915","3,929","2,465",47877.37,"41,485","41,215","5,123,025","11,896,444",41266.4,"4,005","4,030","1,219,881","94,408,766",4043.29
